compound,target_gene,related_genes,mechanism_note,evidence_strength,mondo_group,disease_node_ids,trial_ref,source
Semaglutide,GLP1R,GLP1R,GLP-1 receptor agonist hypothesized to reduce neuroinflammation and improve neuronal insulin signaling; being tested for early symptomatic Alzheimer disease.,0.60,Alzheimer disease,4975;11913;7088;11743;12153,EVOKE / EVOKE+ (NCT04777396/NCT04777409),offline_snapshot
Liraglutide,GLP1R,GLP1R,GLP-1 receptor agonist proposed to support neuronal glucose metabolism and dampen neuroinflammatory signaling; evaluated in mild Alzheimer disease.,0.55,Alzheimer disease,4975;11913;7088;11743;12153,ELAD (NCT01843075),offline_snapshot
Metformin,PRKAA1,PRKAA1;PRKAA2;IGF1R,Biguanide activating AMPK / modulating brain insulin signaling; repurposing hypothesis for MCI and early Alzheimer disease based on metabolic-dysfunction rationale.,0.50,Alzheimer disease,4975;11913;7088;11743;12153,MAP / metformin-in-MCI trials (NCT04098666),offline_snapshot
Sodium selenate,PPP2CA,PPP2CA;MAPT,PP2A activator hypothesized to reduce tau hyperphosphorylation; small tau-directed repurposing trials in Alzheimer disease.,0.45,Alzheimer disease,4975;11913;7088;11743;12153,ISRCTN / phase-2 selenate (NCT05363293),offline_snapshot
Nilotinib,ABL1,ABL1;MAPT;APP,c-Abl tyrosine-kinase inhibitor hypothesized to promote autophagic clearance of misfolded amyloid/tau; explored in small early-phase Alzheimer disease studies.,0.42,Alzheimer disease,4975;11913;7088;11743;12153,Georgetown nilotinib phase-2 (NCT02947893),offline_snapshot
Sargramostim,CSF2RA,CSF2RA;CSF2;TREM2,Recombinant GM-CSF hypothesized to modulate innate-immune / microglial clearance activity; early-phase repurposing in mild-to-moderate Alzheimer disease.,0.42,Alzheimer disease,4975;11913;7088;11743;12153,GM-CSF/Leukine phase-2 (NCT01409915),offline_snapshot
Etanercept,TNF,TNF;TNFRSF1A;GFAP,TNF-alpha inhibitor hypothesized to reduce astroglial/microglial neuroinflammatory signaling; pilot repurposing trials in Alzheimer disease.,0.38,Alzheimer disease,4975;11913;7088;11743;12153,Etanercept-in-AD pilot (NCT01068353),offline_snapshot
Montelukast,ALOX5,ALOX5;CYSLTR1;GFAP,Cysteinyl-leukotriene receptor antagonist hypothesized to lower neuroinflammation and support neurovascular integrity; repurposing interest in Alzheimer disease.,0.32,Alzheimer disease,4975;11913;7088;11743;12153,Montelukast cognition pilot (NCT03991988),offline_snapshot
Atorvastatin,HMGCR,HMGCR;APOE,HMG-CoA reductase inhibitor; cholesterol/APOE-pathway repurposing hypothesis for Alzheimer disease based on vascular and lipid-handling rationale.,0.32,Alzheimer disease,4975;11913;7088;11743;12153,LEADe / statin-in-AD (NCT00151502),offline_snapshot
Telmisartan,AGTR1,AGTR1,Angiotensin-II receptor blocker with PPAR-gamma activity; renin-angiotensin / vascular repurposing hypothesis for Alzheimer disease risk reduction.,0.30,Alzheimer disease,4975;11913;7088;11743;12153,SARTAN-AD (NCT02085265),offline_snapshot
Candesartan,AGTR1,AGTR1,Angiotensin-II receptor blocker hypothesized to improve cerebrovascular regulation; repurposing interest in prodromal Alzheimer disease / MCI.,0.30,Alzheimer disease,4975;11913;7088;11743;12153,CEDAR (NCT02646982),offline_snapshot
Bexarotene,RXRA,RXRA;APOE;APP,RXR agonist hypothesized to enhance APOE-mediated amyloid clearance; small exploratory repurposing study in Alzheimer disease (results equivocal).,0.25,Alzheimer disease,4975;11913;7088;11743;12153,Bexarotene pilot (NCT01782742),offline_snapshot
